"noteWavNames";"notenames";"expected";"expected_notenames";"date";"rownum";"session"
-2;"g'";-2;"g'";"2017-09-24";"21";24
-38;"G,";-14;"g";"2017-09-24";"1";25
-14;"g";-14;"g";"2017-09-24";"2";25
-14;"g";-14;"g";"2017-09-24";"3";25
0;"a'";-12;"a";"2017-09-24";"4";25
-12;"a";-12;"a";"2017-09-24";"5";25
0;"a'";-10;"b";"2017-09-24";"6";25
-30;"D#";-10;"b";"2017-09-24";"7";25
-10;"b";-9;"c'";"2017-09-24";"8";25
-9;"c'";-9;"c'";"2017-09-24";"9";25
-9;"c'";-9;"c'";"2017-09-24";"10";25
-9;"c'";-7;"d'";"2017-09-24";"11";25
-7;"d'";-7;"d'";"2017-09-24";"12";25
-7;"d'";-7;"d'";"2017-09-24";"13";25
-5;"e'";-5;"e'";"2017-09-24";"14";25
-5;"e'";-5;"e'";"2017-09-24";"15";25
-5;"e'";-5;"e'";"2017-09-24";"16";25
-3;"f#'";-3;"f#'";"2017-09-24";"17";25
-3;"f#'";-3;"f#'";"2017-09-24";"18";25
-3;"f#'";-3;"f#'";"2017-09-24";"19";25
-2;"g'";-2;"g'";"2017-09-24";"20";25
-2;"g'";-2;"g'";"2017-09-24";"21";25
-38;"G,";-14;"g";"2017-09-24";"1";26
-14;"g";-14;"g";"2017-09-24";"2";26
-14;"g";-14;"g";"2017-09-24";"3";26
0;"a'";-12;"a";"2017-09-24";"4";26
0;"a'";-12;"a";"2017-09-24";"5";26
-12;"a";-10;"b";"2017-09-24";"6";26
-10;"b";-10;"b";"2017-09-24";"7";26
-10;"b";-9;"c'";"2017-09-24";"8";26
-9;"c'";-9;"c'";"2017-09-24";"9";26
-9;"c'";-9;"c'";"2017-09-24";"10";26
-7;"d'";-7;"d'";"2017-09-24";"11";26
-7;"d'";-7;"d'";"2017-09-24";"12";26
-7;"d'";-7;"d'";"2017-09-24";"13";26
-5;"e'";-5;"e'";"2017-09-24";"14";26
-5;"e'";-5;"e'";"2017-09-24";"15";26
-3;"f#'";-5;"e'";"2017-09-24";"16";26
-3;"f#'";-3;"f#'";"2017-09-24";"17";26
-3;"f#'";-3;"f#'";"2017-09-24";"18";26
-2;"g'";-3;"f#'";"2017-09-24";"19";26
-2;"g'";-2;"g'";"2017-09-24";"20";26
-2;"g'";-2;"g'";"2017-09-24";"21";26
-14;"g";-14;"g";"2017-09-24";"1";27
-14;"g";-14;"g";"2017-09-24";"2";27
-38;"G,";-14;"g";"2017-09-24";"3";27
-13;"g#";-12;"a";"2017-09-24";"4";27
-13;"g#";-12;"a";"2017-09-24";"5";27
-10;"b";-10;"b";"2017-09-24";"6";27
-10;"b";-10;"b";"2017-09-24";"7";27
-38;"G,";-9;"c'";"2017-09-24";"8";27
-10;"b";-9;"c'";"2017-09-24";"9";27
-10;"b";-9;"c'";"2017-09-24";"10";27
-7;"d'";-7;"d'";"2017-09-24";"11";27
-7;"d'";-7;"d'";"2017-09-24";"12";27
-7;"d'";-7;"d'";"2017-09-24";"13";27
-5;"e'";-5;"e'";"2017-09-24";"14";27
-5;"e'";-5;"e'";"2017-09-24";"15";27
-3;"f#'";-5;"e'";"2017-09-24";"16";27
-3;"f#'";-3;"f#'";"2017-09-24";"17";27
-3;"f#'";-3;"f#'";"2017-09-24";"18";27
-2;"g'";-3;"f#'";"2017-09-24";"19";27
-2;"g'";-2;"g'";"2017-09-24";"20";27
-2;"g'";-2;"g'";"2017-09-24";"21";27
-79;" ";-14;"g";"2017-09-24";"1";28
-9;"c'";-14;"g";"2017-09-24";"2";28
-14;"g";-14;"g";"2017-09-24";"3";28
-14;"g";-12;"a";"2017-09-24";"4";28
-13;"g#";-12;"a";"2017-09-24";"5";28
-1;"g#'";-10;"b";"2017-09-24";"6";28
-1;"g#'";-10;"b";"2017-09-24";"7";28
-10;"b";-9;"c'";"2017-09-24";"8";28
-10;"b";-9;"c'";"2017-09-24";"9";28
-20;"c#";-9;"c'";"2017-09-24";"10";28
-10;"b";-7;"d'";"2017-09-24";"11";28
-7;"d'";-7;"d'";"2017-09-24";"12";28
-7;"d'";-7;"d'";"2017-09-24";"13";28
-7;"d'";-5;"e'";"2017-09-24";"14";28
0;"a'";-5;"e'";"2017-09-24";"15";28
-5;"e'";-5;"e'";"2017-09-24";"16";28
-4;"f'";-3;"f#'";"2017-09-24";"17";28
-3;"f#'";-3;"f#'";"2017-09-24";"18";28
-3;"f#'";-3;"f#'";"2017-09-24";"19";28
-2;"g'";-2;"g'";"2017-09-24";"20";28
-2;"g'";-2;"g'";"2017-09-24";"21";28
-41;"E,";-14;"g";"2017-09-24";"1";29
-2;"g'";-14;"g";"2017-09-24";"2";29
-2;"g'";-14;"g";"2017-09-24";"3";29
-14;"g";-12;"a";"2017-09-24";"4";29
-13;"g#";-12;"a";"2017-09-24";"5";29
-1;"g#'";-10;"b";"2017-09-24";"6";29
-1;"g#'";-10;"b";"2017-09-24";"7";29
-10;"b";-9;"c'";"2017-09-24";"8";29
-10;"b";-9;"c'";"2017-09-24";"9";29
-10;"b";-9;"c'";"2017-09-24";"10";29
-10;"b";-7;"d'";"2017-09-24";"11";29
-10;"b";-7;"d'";"2017-09-24";"12";29
-7;"d'";-7;"d'";"2017-09-24";"13";29
-7;"d'";-5;"e'";"2017-09-24";"14";29
-7;"d'";-5;"e'";"2017-09-24";"15";29
-5;"e'";-5;"e'";"2017-09-24";"16";29
-6;"d#'";-3;"f#'";"2017-09-24";"17";29
-5;"e'";-3;"f#'";"2017-09-24";"18";29
-3;"f#'";-3;"f#'";"2017-09-24";"19";29
-3;"f#'";-2;"g'";"2017-09-24";"20";29
-3;"f#'";-2;"g'";"2017-09-24";"21";29
